beta_x1,beta_s_x2,beta_s_pois,sigma_s_x2,sigma_s_pois,lb_awci_sigma_s_x2,ub_awci_sigma_s_x2,lb_awci_sigma_s_pois,ub_awci_sigma_s_pois,lb_rbci_sigma_s_x2,ub_rbci_sigma_s_x2,lb_rbci_sigma_s_pois,ub_rbci_sigma_s_pois
0.9346275126950895,0.9853595558094587,1.0183435449272569,-0.52,-1.48,-0.54,-0.49,-1.53,-1.43,-0.56,-0.49,-1.53,-1.4048
1.0422188245697417,0.9635579032175029,1.0310514267149653,-0.51,-1.46,-0.53,-0.49,-1.5,-1.43,-0.55,-0.4848,-1.5105,-1.39
1.0257967360331746,1.0287334989818384,0.9783241152875143,-0.47,-1.52,-0.5,-0.44,-1.59,-1.46,-0.5052,-0.4248,-1.6152,-1.45
0.9791364621850547,1.0228737683462092,0.9606317819772198,-0.46,-1.58,-0.49,-0.42,-1.7,-1.49,-0.51,-0.4148,-1.6952,-1.4795
0.9599813687182849,1.0440700681685502,0.9313021976456538,-0.47,-1.53,-0.5,-0.45,-1.59,-1.49,-0.51,-0.43,-1.6,-1.48
1.0072021937990538,1.0830238372376282,0.9443668743866528,-0.51,-1.52,-0.53,-0.49,-1.64,-1.43,-0.5452,-0.4848,-1.6352,-1.41
1.0130599378464256,1.0555447629927663,0.9856936906081789,-0.48,-1.56,-0.51,-0.45,-1.65,-1.49,-0.5152,-0.44,-1.67,-1.4795
1.0425320348295735,1.085040420620638,0.9543689390556337,-0.49,-1.53,-0.52,-0.47,-1.59,-1.47,-0.54,-0.46,-1.6,-1.45
1.01380605173642,1.128410288936429,0.9624818703941145,-0.46,-1.59,-0.49,-0.42,-1.67,-1.52,-0.51,-0.4043,-1.7,-1.5248
0.9311919260425271,0.9478898022972757,0.9817076401001479,-0.49,-1.56,-0.52,-0.47,-1.67,-1.49,-0.54,-0.46,-1.69,-1.47
1.0166084373649518,0.9614989988429438,1.0121870106240507,-0.51,-1.5,-0.54,-0.48,-1.56,-1.45,-0.58,-0.4648,-1.6,-1.3948
0.981976531426106,1.038649712505163,0.9966346233053202,-0.5,-1.53,-0.52,-0.47,-1.61,-1.45,-0.54,-0.47,-1.64,-1.4448
1.0674210656609673,1.0486269095096878,1.0093035380910071,-0.5,-1.6,-0.52,-0.47,-1.71,-1.51,-0.54,-0.4748,-1.7405,-1.4595
0.97645268975532,1.044601535963791,0.9932836563648333,-0.48,-1.56,-0.5,-0.46,-1.6,-1.51,-0.51,-0.4548,-1.63,-1.49
1.0164806332765695,0.9546093452480666,1.0633658169438316,-0.54,-1.45,-0.57,-0.5,-1.51,-1.4,-0.5952,-0.4848,-1.54,-1.3748
1.0037818873188746,0.9541741437033052,0.9982880991370665,-0.5,-1.49,-0.52,-0.47,-1.53,-1.46,-0.55,-0.47,-1.53,-1.43
1.0503601309534178,0.9896925815339346,0.9871506311098287,-0.5,-1.49,-0.53,-0.47,-1.56,-1.43,-0.5452,-0.46,-1.58,-1.41
0.9884099251433991,1.0428285023607842,1.0196863117406918,-0.53,-1.53,-0.55,-0.5,-1.59,-1.48,-0.57,-0.49,-1.6105,-1.4548
1.006852273704364,1.0644954089850542,0.9564681220769962,-0.51,-1.49,-0.54,-0.48,-1.6,-1.41,-0.57,-0.47,-1.63,-1.35
0.9951753213264165,1.0361905892982044,0.9570006470919837,-0.49,-1.53,-0.52,-0.47,-1.57,-1.48,-0.54,-0.46,-1.6,-1.4595
1.0521468330237074,1.0047425655497997,0.9532464919385573,-0.5,-1.53,-0.53,-0.46,-1.6,-1.46,-0.57,-0.4648,-1.63,-1.4395
1.0347212705368822,0.9774548179436399,1.0088751159836522,-0.5,-1.46,-0.52,-0.47,-1.54,-1.4,-0.54,-0.47,-1.5552,-1.3743
0.9722813488887276,1.057846020713968,1.001901931265298,-0.5,-1.49,-0.52,-0.47,-1.55,-1.44,-0.5505,-0.47,-1.58,-1.4048
0.997802844312999,1.0363928285014197,1.0230754297194058,-0.49,-1.55,-0.51,-0.47,-1.59,-1.5,-0.54,-0.47,-1.6,-1.4748
0.9974726783151772,0.9715016128619086,1.0311789214296156,-0.49,-1.49,-0.51,-0.46,-1.54,-1.45,-0.54,-0.4648,-1.5352,-1.43
0.9799109903294313,1.0203521583851793,0.9848504237207908,-0.5,-1.52,-0.53,-0.48,-1.57,-1.47,-0.5452,-0.47,-1.6,-1.4348
0.966547050461049,0.948532803116328,1.0871290364766777,-0.51,-1.49,-0.53,-0.48,-1.53,-1.46,-0.56,-0.47,-1.5452,-1.43
1.0164394106600925,0.9805984246253526,0.9947562802646608,-0.52,-1.48,-0.54,-0.5,-1.53,-1.43,-0.56,-0.4948,-1.5452,-1.3948
0.9647757292998,0.9478770659349885,1.0802586017159868,-0.48,-1.49,-0.51,-0.45,-1.53,-1.44,-0.54,-0.45,-1.53,-1.4148
0.9593543521168509,0.9969199039835115,0.9669568354903018,-0.51,-1.49,-0.54,-0.48,-1.55,-1.45,-0.5652,-0.47,-1.5452,-1.43
1.0735066361909535,1.1013298676799674,0.9918737231513685,-0.45,-1.59,-0.48,-0.41,-1.67,-1.52,-0.5052,-0.4048,-1.7,-1.47
0.9333128728610041,1.0803769448278264,1.0043251251523135,-0.48,-1.53,-0.5,-0.45,-1.62,-1.46,-0.51,-0.45,-1.64,-1.4548
0.9520550331806589,0.9565716228503023,1.0525744455233668,-0.53,-1.43,-0.56,-0.5,-1.49,-1.4,-0.6152,-0.48,-1.5152,-1.3348
1.0190366194173788,0.9385359854765644,0.9891194075386074,-0.49,-1.48,-0.52,-0.46,-1.59,-1.4,-0.54,-0.46,-1.6152,-1.37
0.965251498109622,0.8597345615710739,1.0710957358456201,-0.57,-1.42,-0.6,-0.53,-1.46,-1.38,-0.6852,-0.53,-1.4752,-1.34
1.0158684493205976,0.8952780669199546,1.0491630550466666,-0.54,-1.4,-0.57,-0.5,-1.45,-1.35,-0.6252,-0.4948,-1.4752,-1.3295
1.0033431689128856,0.9896680579665827,1.067957474898337,-0.49,-1.47,-0.53,-0.47,-1.54,-1.42,-0.56,-0.4548,-1.5552,-1.3695
0.9531051371746689,1.012962257060731,0.9953831131487682,-0.54,-1.38,-0.56,-0.51,-1.43,-1.34,-0.62,-0.51,-1.47,-1.28
0.9942717013116382,1.0955205448168779,0.9836772775135533,-0.48,-1.49,-0.51,-0.45,-1.55,-1.43,-0.52,-0.4448,-1.56,-1.43
0.971055684951944,1.0531250367087435,0.9320371579530579,-0.49,-1.55,-0.51,-0.46,-1.62,-1.5,-0.5252,-0.46,-1.62,-1.49
0.9597274202922478,1.000002816574339,0.9666122976209528,-0.47,-1.52,-0.49,-0.45,-1.6,-1.46,-0.51,-0.44,-1.6105,-1.45
