beta_x1,beta_s_x2,beta_s_pois,sigma_s_x2,sigma_s_pois,lb_awci_sigma_s_x2,ub_awci_sigma_s_x2,lb_awci_sigma_s_pois,ub_awci_sigma_s_pois,lb_rbci_sigma_s_x2,ub_rbci_sigma_s_x2,lb_rbci_sigma_s_pois,ub_rbci_sigma_s_pois
0.835023084046722,0.9365898669292263,1.0561292509412448,-0.56,-1.42,-0.63,-0.49,-1.57,-1.33,-0.68,-0.4848,-1.5452,-1.2748
1.1085779071875823,0.9379355062421281,1.0553128026430838,-0.5,-1.44,-0.56,-0.44,-1.54,-1.36,-0.652,-0.43,-1.5705,-1.31
1.0638833080556191,1.0421447891738294,0.9701331937216839,-0.45,-1.52,-0.53,-0.34,-1.75,-1.35,-0.5552,-0.3148,-1.781,-1.3343
0.9461444932100388,1.0588352329368391,0.9162130777168696,-0.39,-1.8,-0.49,-0.26,-3.16,-1.43,-0.5005,-0.2595,-2.7425,-1.5043
0.8983861797025615,1.131054825061964,0.8341306151934744,-0.43,-1.61,-0.5,-0.35,-1.87,-1.46,-0.5452,-0.34,-1.9462,-1.44
1.018236261527076,1.2210322236036735,0.8578232745908217,-0.51,-1.63,-0.56,-0.45,-2.3,-1.35,-0.58,-0.46,-2.1972,-1.32
1.034342106202792,1.109025384471153,0.9819917019679831,-0.47,-1.63,-0.54,-0.39,-2.06,-1.43,-0.5552,-0.3548,-2.0458,-1.42
1.110114235160205,1.1796147930094498,0.9097342038566645,-0.49,-1.54,-0.55,-0.43,-1.75,-1.39,-0.5752,-0.4448,-1.7552,-1.37
1.0332314139672982,1.3342070272423951,0.9413130616143576,-0.4,-1.8,-0.48,-0.29,-2.68,-1.52,-0.5152,-0.2748,-2.2258,-1.56
0.8314133230983678,0.846051869598775,0.9650235987547146,-0.49,-1.63,-0.57,-0.41,-2.44,-1.4,-0.6057,-0.4048,-2.0757,-1.4148
1.0401144279056833,0.9236396524825201,1.0105322308794458,-0.51,-1.52,-0.59,-0.42,-1.71,-1.38,-0.8357,-0.3848,-1.8158,-1.2848
0.9540555868383129,1.080694349291118,0.9947488239008461,-0.51,-1.55,-0.57,-0.44,-1.84,-1.38,-0.5752,-0.44,-1.902,-1.3448
1.170480123208999,1.0900109063317056,1.0351484387587724,-0.51,-1.73,-0.57,-0.44,-2.19,-1.49,-0.6152,-0.46,-2.31,-1.3938
0.9389793287509012,1.096042357037417,1.0020556167921346,-0.46,-1.63,-0.51,-0.41,-1.81,-1.51,-0.54,-0.4,-1.891,-1.4548
1.0473821472096798,0.968136192046232,1.0936594307694978,-0.55,-1.45,-0.65,-0.46,-1.6,-1.33,-2.8568,-0.43,-1.6952,-1.26
1.0085871090376475,0.896496564276356,0.9909229996742753,-0.49,-1.49,-0.56,-0.41,-1.6,-1.42,-0.6352,-0.3948,-1.6158,-1.3548
1.1265030332343666,0.9710750841106258,0.9686186421106336,-0.5,-1.47,-0.6,-0.41,-1.7,-1.34,-0.62,-0.38,-1.7458,-1.3148
0.97044596492726,1.1162631271566494,1.0522101565167608,-0.57,-1.58,-0.64,-0.5,-1.8,-1.44,-0.65,-0.48,-1.8,-1.4248
1.0266594151923916,0.7475081495632083,1.346565886103276,-2.93,-1.15,-3.0,-0.71,-1.22,-1.08,-2.97,-0.6348,-1.2658,-1.08
0.9922509714357074,1.0404417853452617,0.9253878681060695,-0.5,-1.53,-0.56,-0.43,-1.67,-1.41,-0.62,-0.42,-1.7458,-1.3543
1.1305832118759398,0.9896949287639667,0.8948913214659143,-0.51,-1.56,-0.6,-0.41,-1.91,-1.37,-0.7452,-0.45,-1.8652,-1.3295
1.0874146106033529,0.9287746506866141,1.0262299130097865,-0.51,-1.39,-0.58,-0.43,-1.59,-1.27,-0.6605,-0.43,-1.63,-1.24
