beta_x1,beta_s_x2,beta_s_pois,sigma_s_x2,sigma_s_pois
0.990822045102542,0.8933088634658952,0.7226918485658881,-0.51,-1.04
1.0325361187183775,1.013154879388631,0.7146536486862415,-0.48,-1.22
1.031003905490886,1.0486699908054664,0.7289657974620612,-0.52,-1.15
0.9972103565535149,0.9710089876899546,0.7254101921433848,-0.45,-1.07
0.9705818735829306,1.124411273574826,0.49966272205142254,-0.46,-1.02
0.9972060965662569,0.9632452574961792,0.863534993733393,-0.55,-1.15
0.9377087417252354,1.0416888343407058,0.6933457480812034,-0.51,-1.05
1.024407814952094,1.082514416439719,0.7005357093926975,-0.51,-1.24
0.942942470015712,1.0938322521972825,0.5234858425200628,-0.47,-0.79
0.869987093905553,0.8354347125472139,0.6519730686330663,-0.44,-1.05
0.9546263336898234,1.1357544152579668,0.5043651921045295,-0.45,-1.06
0.9771458442640136,0.9064154201284903,0.8215606845950956,-0.54,-1.08
0.9618472387162545,0.9002366155098538,0.7911111127533055,-0.55,-1.06
0.957154367418636,0.9480953640763394,0.5696368782327459,-0.43,-0.99
1.0159655737995792,1.082682989431875,0.6206760091784256,-0.48,-1.12
0.939554228785292,0.9615881996367085,0.6154123971720107,-0.43,-1.12
1.0100384487305176,0.9555566663247071,0.7840179090694819,-0.49,-1.09
0.9615240789740179,0.9750872969497779,0.7120557085986069,-0.47,-1.12
0.9678641218609079,0.9855589819780783,0.7525692957801611,-0.48,-1.1
1.0114305937422325,1.04768471064574,0.5976895537182468,-0.45,-1.08
1.0268388469214504,1.0451274540044246,0.7029141832552209,-0.48,-1.11
1.0176849828490198,0.9129074202257199,0.9224109870437804,-0.59,-1.12
0.9980761073556276,0.9805995200630375,0.6595062153636306,-0.48,-1.07
0.9915736170040059,1.0000742450042444,0.6700042107254685,-0.47,-1.18
0.9438480298808531,1.0442324647562122,0.6641765656190389,-0.49,-1.15
1.0355690472271484,1.0897968514633238,0.651818390225188,-0.53,-1.19
0.907846044243464,0.9618902196959561,0.6465767057849392,-0.41,-1.15
0.9517979873286501,0.943243492879813,0.811170516340759,-0.5,-1.15
1.0022168270559613,0.9649887191194572,0.6956268430323612,-0.43,-1.12
0.9939578679452105,1.0058127537403645,0.6188811654461573,-0.47,-0.95
0.981808251423423,1.0776416653991607,0.6436088939143734,-0.44,-1.07
0.9851117033259023,0.8731297525707152,0.7559027314478899,-0.5,-1.08
0.9793571726661976,1.143555712614433,0.491296291298343,-0.48,-1.08
0.9843833643451986,0.9310237518722372,0.7643118750363405,-0.53,-1.06
1.0516987086075178,1.1478515446799527,0.590177804238744,-0.47,-1.29
1.0287352884775331,1.0440511486585646,0.6485963654918304,-0.48,-1.11
1.0064525960516268,0.9820449520213443,0.8352527126060577,-0.54,-1.15
0.9597645412685635,0.9495201157716169,0.6634207197351435,-0.48,-1.12
1.053322443306242,0.9903994133122213,0.8201756519118792,-0.56,-1.12
1.0048409317685132,0.9575069552786232,0.6592149318596386,-0.48,-1.04
0.9699967962659826,0.9431295245823964,0.7275893456303425,-0.46,-1.18
0.9330428847673623,0.9682692345174346,0.7011800340175589,-0.39,-1.11
0.9683573373878073,0.9530705249676837,0.7315371202457066,-0.48,-1.1
1.025191075419025,1.0746513152715658,0.5689786256247534,-0.48,-1.14
1.016759852311032,1.0077539428339426,0.7222241151238479,-0.49,-1.06
0.8991500578672584,0.9021558566851214,0.6784146624637281,-0.43,-1.03
1.0127685465545058,0.9875374176859937,0.8637589603798905,-0.55,-1.16
1.0134709897519973,1.0254282309921587,0.7476316401832022,-0.49,-1.12
1.0313053363773304,1.1056112624598626,0.6206488147987141,-0.51,-1.21
1.0008576490979877,1.0287281522297484,0.7151761794919279,-0.55,-1.08
0.9762764613931074,1.0898437853513492,0.4991628679045287,-0.44,-1.08
1.022789007349655,1.0500452668868878,0.7328774834384583,-0.51,-1.15
1.018163365563809,1.110244961962679,0.5197541500227775,-0.5,-1.08
1.019369554708464,0.9766702911528033,0.7824728435037045,-0.54,-1.1
1.0403285406650096,0.9661327406839562,0.8710431701439598,-0.55,-1.15
1.0562149736834814,0.9186669991935051,0.80959002301897,-0.54,-1.11
1.0005096544360694,1.0903295679202132,0.5860595851822629,-0.45,-1.22
0.9995002836172111,0.8693536181607924,0.7495700551912415,-0.5,-1.07
0.9303646050255158,0.9065892268266377,0.724122719315307,-0.45,-1.15
0.9607717429990329,1.027568277904329,0.5569813922661325,-0.49,-1.02
1.0018194236171085,1.0042150395687184,0.6626258407796233,-0.48,-1.12
1.0203247202027328,0.9067726739877756,0.8124995910693342,-0.48,-1.07
0.9902191501583523,0.9510412433788932,0.7742416661159555,-0.52,-1.12
0.9748674468192606,0.9460833043077652,0.6756078063671159,-0.45,-1.1
0.9661575466928277,0.9269328314562727,0.7691789627497724,-0.52,-1.15
1.0095663083623663,1.0636219870761319,0.6716659121846252,-0.51,-1.14
0.9974448775032609,0.9642657237348984,0.7306839537797778,-0.48,-1.18
0.9846681099313156,1.0351570977686748,0.6135512710003256,-0.45,-1.08
0.960344016481402,0.9164632520692699,0.6333935470523515,-0.44,-1.13
1.0348770242604424,1.0688653604052891,0.6951806745684187,-0.52,-1.15
0.9675325449690889,0.9224639866753389,0.6435291196895464,-0.43,-0.89
1.004992488269936,0.870291232108526,0.6631583817598856,-0.46,-1.09
1.096174802162402,1.0460966593247625,0.5957047915656835,-0.47,-1.15
0.9899751667572301,1.0407156516424858,0.5691758748682109,-0.44,-1.12
1.0296429079702274,1.0113907270397753,0.6772388471816241,-0.45,-1.15
1.0002815101321487,0.9969317779206344,0.6768684527317619,-0.46,-1.22
1.0579816894475682,1.0012523215623634,0.7238675626650046,-0.49,-1.18
0.9885868448771818,0.8955736903336965,0.7231849081247156,-0.47,-1.1
0.9833255379665904,1.1259744570322854,0.5443093780711135,-0.47,-1.08
0.8458697666744115,1.126743323251076,0.28964022756139396,-0.45,-0.78
0.9302722696849242,0.9628651383649629,0.5850690990536966,-0.42,-1.14
0.9815482612858095,0.9641204202815508,0.8419762407723735,-0.54,-1.15
1.0373826644680972,1.055838496576829,0.7016488941725963,-0.51,-1.21
0.9289156930402448,0.9392466469270342,0.5790807242834485,-0.46,-0.98
1.03361670432415,1.0517541533684334,0.7829758361217396,-0.55,-1.16
0.966577975761604,0.8444329634949159,0.6948797475572183,-0.46,-0.94
0.9529096721347494,1.141943059511555,0.5110814533090479,-0.45,-1.07
0.9937898791115249,1.097449193940566,0.6323307638122306,-0.48,-1.12
1.0048634992013172,1.016330399500504,0.8634768239102517,-0.54,-1.27
1.052747337839678,0.9728992715691265,0.807385736150298,-0.55,-1.16
0.9695211205750369,0.8789033209296384,0.7339094287157463,-0.47,-1.08
1.015928359091947,0.9539417908971373,0.9488752312941037,-0.62,-1.15
1.0392912299509207,0.950078600129155,0.8456159326675096,-0.55,-1.15
1.003888233344437,1.1102664851076747,0.5592662825633906,-0.43,-1.15
1.0490038865305995,0.9902159838734159,0.854768754789668,-0.57,-1.18
1.030347350476788,0.9885040855459862,0.7077890644853935,-0.49,-1.02
0.987823250612403,0.8952450269422987,0.848048603904173,-0.55,-1.1
1.0004534860589098,1.0284564820756836,0.6934942025044345,-0.51,-1.06
1.0016905166092764,0.9299746522706077,0.822578992745326,-0.55,-1.09
1.069153606962199,1.0237858251288456,0.6967690197554953,-0.49,-1.15
